date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2015-04-03,88,2,,0.02,1.76
2015-04-04,84,2,,0.02,1.68
2015-04-05,93,2,,0.02,1.86
2015-04-06,89,2,,0.02,1.78
2015-04-07,91,2,,0.02,1.82
2015-04-08,100,2,,0.02,2
2015-04-09,96,2,,0.02,1.92
2015-04-10,91,2,,0.02,1.82
2015-04-11,81,2,,0.02,1.62
2015-04-12,84,2,,0.02,1.68
2015-04-13,91,2,,0.02,1.82
2015-04-14,95,2,,0.02,1.9
2015-04-15,89,2,,0.02,1.78
2015-04-16,82,2,,0.02,1.64
2015-04-17,85,2,,0.02,1.7
2015-04-18,85,2,,0.02,1.7
2015-04-19,89,2,,0.02,1.78
2015-04-20,85,2,,0.02,1.7
2015-04-21,95,2,,0.02,1.9
2015-04-22,97,2,,0.02,1.94
2015-04-23,85,2,,0.02,1.7
2015-04-24,84,2,,0.02,1.68
2015-04-25,82,2,,0.02,1.64
2015-04-26,84,2,,0.02,1.68
2015-04-27,86,2,,0.02,1.72
2015-04-28,86,2,,0.02,1.72
2015-04-29,88,2,,0.02,1.76
2015-04-30,88,2,,0.02,1.76
2015-05-01,75,2,FALSE,0.02,1.5
2015-05-02,69,2,,0.02,1.38
2015-05-03,69,2,,0.02,1.38
2015-05-04,68,2,,0.02,1.36
2015-05-05,71,2,,0.02,1.42
2015-05-06,78,2,,0.02,1.56
2015-05-07,74,2,,0.02,1.48
2015-05-08,75,2,,0.02,1.5
2015-05-09,67,2,,0.02,1.34
2015-05-10,67,2,,0.02,1.34
2015-05-11,72,2,,0.02,1.44
2015-05-12,71,2,,0.02,1.42
2015-05-13,78,2,,0.02,1.56
2015-05-14,100,2,,0.02,2
2015-05-15,75,2,,0.02,1.5
2015-05-16,75,2,,0.02,1.5
2015-05-17,74,2,,0.02,1.48
2015-05-18,73,2,,0.02,1.46
2015-05-19,80,2,,0.02,1.6
2015-05-20,88,2,,0.02,1.76
2015-05-21,82,2,,0.02,1.64
2015-05-22,75,2,,0.02,1.5
2015-05-23,70,2,,0.02,1.4
2015-05-24,75,2,,0.02,1.5
2015-05-25,81,2,,0.02,1.62
2015-05-26,77,2,,0.02,1.54
2015-05-27,78,2,,0.02,1.56
2015-05-28,67,2,,0.02,1.34
2015-05-29,81,2,,0.02,1.62
2015-05-30,95,2,,0.02,1.9
2015-05-31,84,2,,0.02,1.68
2015-06-01,52,2,FALSE,0.02,1.04
2015-06-02,47,2,,0.02,0.94
2015-06-03,51,2,,0.02,1.02
2015-06-04,48,2,,0.02,0.96
2015-06-05,44,2,,0.02,0.88
2015-06-06,48,2,,0.02,0.96
2015-06-07,49,2,,0.02,0.98
2015-06-08,44,2,,0.02,0.88
2015-06-09,48,2,,0.02,0.96
2015-06-10,47,2,,0.02,0.94
2015-06-11,45,2,,0.02,0.9
2015-06-12,48,2,,0.02,0.96
2015-06-13,40,2,,0.02,0.8
2015-06-14,45,2,,0.02,0.9
2015-06-15,47,2,,0.02,0.94
2015-06-16,49,2,,0.02,0.98
2015-06-17,55,2,,0.02,1.1
2015-06-18,100,2,,0.02,2
2015-06-19,55,2,,0.02,1.1
2015-06-20,58,2,,0.02,1.16
2015-06-21,50,2,,0.02,1
2015-06-22,47,2,,0.02,0.94
2015-06-23,49,2,,0.02,0.98
2015-06-24,49,2,,0.02,0.98
2015-06-25,51,2,,0.02,1.02
2015-06-26,45,2,,0.02,0.9
2015-06-27,50,2,,0.02,1
2015-06-28,51,2,,0.02,1.02
2015-06-29,59,2,,0.02,1.18
2015-06-30,74,2,,0.02,1.48
2015-07-01,80,3,FALSE,0.03,2.4
2015-07-02,83,3,,0.03,2.49
2015-07-03,80,3,,0.03,2.4
2015-07-04,86,3,,0.03,2.58
2015-07-05,88,3,,0.03,2.64
2015-07-06,100,3,,0.03,3
2015-07-07,90,3,,0.03,2.7
2015-07-08,98,3,,0.03,2.94
2015-07-09,88,3,,0.03,2.64
2015-07-10,96,3,,0.03,2.88
2015-07-11,83,3,,0.03,2.49
2015-07-12,95,3,,0.03,2.85
2015-07-13,89,3,,0.03,2.67
2015-07-14,81,3,,0.03,2.43
2015-07-15,78,3,,0.03,2.34
2015-07-16,80,3,,0.03,2.4
2015-07-17,74,3,,0.03,2.22
2015-07-18,78,3,,0.03,2.34
2015-07-19,76,3,,0.03,2.28
2015-07-20,78,3,,0.03,2.34
2015-07-21,79,3,,0.03,2.37
2015-07-22,74,3,,0.03,2.22
2015-07-23,69,3,,0.03,2.07
2015-07-24,74,3,,0.03,2.22
2015-07-25,74,3,,0.03,2.22
2015-07-26,78,3,,0.03,2.34
2015-07-27,81,3,,0.03,2.43
2015-07-28,87,3,,0.03,2.61
2015-07-29,72,3,,0.03,2.16
2015-07-30,72,3,,0.03,2.16
2015-07-31,71,3,,0.03,2.13
2015-08-01,100,3,FALSE,0.03,3
2015-08-02,76,3,,0.03,2.28
2015-08-03,71,3,,0.03,2.13
2015-08-04,72,3,,0.03,2.16
2015-08-05,64,3,,0.03,1.92
2015-08-06,60,3,,0.03,1.8
2015-08-07,57,3,,0.03,1.71
2015-08-08,58,3,,0.03,1.74
2015-08-09,59,3,,0.03,1.77
2015-08-10,62,3,,0.03,1.86
2015-08-11,63,3,,0.03,1.89
2015-08-12,60,3,,0.03,1.8
2015-08-13,63,3,,0.03,1.89
2015-08-14,57,3,,0.03,1.71
2015-08-15,56,3,,0.03,1.68
2015-08-16,59,3,,0.03,1.77
2015-08-17,61,3,,0.03,1.83
2015-08-18,68,3,,0.03,2.04
2015-08-19,87,3,,0.03,2.61
2015-08-20,73,3,,0.03,2.19
2015-08-21,67,3,,0.03,2.01
2015-08-22,65,3,,0.03,1.95
2015-08-23,67,3,,0.03,2.01
2015-08-24,81,3,,0.03,2.43
2015-08-25,85,3,,0.03,2.55
2015-08-26,67,3,,0.03,2.01
2015-08-27,63,3,,0.03,1.89
2015-08-28,64,3,,0.03,1.92
2015-08-29,58,3,,0.03,1.74
2015-08-30,62,3,,0.03,1.86
2015-08-31,58,3,,0.03,1.74
2015-09-01,89,2,FALSE,0.02,1.78
2015-09-02,97,2,,0.02,1.94
2015-09-03,88,2,,0.02,1.76
2015-09-04,96,2,,0.02,1.92
2015-09-05,87,2,,0.02,1.74
2015-09-06,86,2,,0.02,1.72
2015-09-07,85,2,,0.02,1.7
2015-09-08,92,2,,0.02,1.84
2015-09-09,95,2,,0.02,1.9
2015-09-10,86,2,,0.02,1.72
2015-09-11,82,2,,0.02,1.64
2015-09-12,91,2,,0.02,1.82
2015-09-13,96,2,,0.02,1.92
2015-09-14,93,2,,0.02,1.86
2015-09-15,87,2,,0.02,1.74
2015-09-16,100,2,,0.02,2
2015-09-17,94,2,,0.02,1.88
2015-09-18,100,2,,0.02,2
2015-09-19,84,2,,0.02,1.68
2015-09-20,90,2,,0.02,1.8
2015-09-21,89,2,,0.02,1.78
2015-09-22,96,2,,0.02,1.92
2015-09-23,98,2,,0.02,1.96
2015-09-24,92,2,,0.02,1.84
2015-09-25,93,2,,0.02,1.86
2015-09-26,87,2,,0.02,1.74
2015-09-27,90,2,,0.02,1.8
2015-09-28,86,2,,0.02,1.72
